Customer ID,Name,SIC_Code,Country,Parent,FacID,PD,LGD,Type,Start_date,Maturity_date,Limit,Drawn_balance,Margin,Fee,Currency,IFRS_Stage,Turnover
1000001,Customer 1000001,07210,GB,,1000001,0.0008,0.4900,Loan,7/10/2022,9/26/2027,400000,400000,0.0312,0.0050,GBP,1,27000000
1000001,Customer 1000001,07210,GB,,1000002,0.0008,0.3200,Loan,7/30/2022,2/4/2027,650000,650000,0.0291,0.0050,GBP,1,27000000
1000001,Customer 1000001,07210,GB,,1000003,0.0008,0.6100,Loan,1/7/2023,11/21/2026,390000,390000,0.0272,0.0050,GBP,1,27000000
1000001,Customer 1000001,07210,GB,,1000004,0.0008,0.3300,Loan,10/28/2022,9/3/2025,330000,330000,0.0393,0.0050,GBP,1,27000000
1000001,Customer 1000001,07210,GB,,1000005,0.0008,0.5400,Loan,1/4/2023,4/2/2027,630000,630000,0.0408,0.0050,GBP,1,27000000
1000002,Customer 1000002,07210,GB,,1000006,0.0016,0.6500,Loan,9/26/2021,2/25/2026,300000,300000,0.0412,0.0050,GBP,1,46000000
1000002,Customer 1000002,07210,GB,,1000007,0.0016,0.5300,Loan,3/14/2022,3/27/2027,690000,690000,0.0281,0.0050,GBP,1,46000000
1000002,Customer 1000002,07210,GB,,1000008,0.0016,0.6300,Loan,11/28/2021,10/4/2028,670000,670000,0.0351,0.0050,GBP,1,46000000
1000002,Customer 1000002,07210,GB,,1000009,0.0016,0.3900,Loan,11/30/2021,12/4/2027,240000,240000,0.0338,0.0050,GBP,1,46000000
1000002,Customer 1000002,07210,GB,,1000010,0.0016,0.7000,Loan,2/8/2022,12/17/2027,500000,500000,0.0335,0.0050,GBP,1,46000000
1000003,Customer 1000003,07210,GB,,1000011,0.0128,0.2900,Loan,11/6/2022,1/6/2027,260000,260000,0.0409,0.0050,GBP,1,55000000
1000003,Customer 1000003,07210,GB,,1000012,0.0128,0.6700,Loan,3/4/2022,8/10/2025,750000,750000,0.0310,0.0050,GBP,1,55000000
1000004,Customer 1000004,07210,GB,,1000013,0.0016,0.5600,Loan,11/9/2021,1/30/2026,320000,320000,0.0374,0.0050,GBP,1,74000000
